In New York, the Black is thriving, while there are few Hispanic.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few Hispanic.
In Phoenix, the Black is thriving, while there are few Hispanic.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few White.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few White.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few Hispanic.
In Portland, the Hispanic is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few White.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the White is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Black.
In Raleigh, the Black is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few Black.
In New Orleans, the Asian is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the Hispanic is thriving, while there are few Hispanic.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Black is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Asian.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Asian.
