In New York, the White is thriving, while there are few Black.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few White.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the White is thriving, while there are few White.
In San Diego, the Hispanic is thriving, while there are few Asian.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the Asian is thriving, while there are few Asian.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few Asian.
In Memphis, the Asian is thriving, while there are few White.
In Baltimore, the Black is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the Black is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few Black.
In Nashville, the White is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few Hispanic.
In Oklahoma City, the Asian is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Asian is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the White is thriving, while there are few Black.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the Hispanic is thriving, while there are few White.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few White.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the White is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few Asian.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
