In New York, the White is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the Black is thriving, while there are few Black.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few Black.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the Asian is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Asian.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Hispanic is thriving, while there are few White.
In Milwaukee, the White is thriving, while there are few Hispanic.
In Portland, the Black is thriving, while there are few Asian.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the White is thriving, while there are few Hispanic.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Asian is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few Hispanic.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Black is thriving, while there are few Hispanic.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the Black is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the Hispanic is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the Asian is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Asian.
