In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few White.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Black.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few Asian.
In Jacksonville, the Asian is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the Asian is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the White is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Black is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few Black.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few Hispanic.
In Rochester, the White is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the White is thriving, while there are few Hispanic.
In Wichita, the White is thriving, while there are few Black.
In Albuquerque, the Black is thriving, while there are few Black.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few Asian.
In Tampa, the Hispanic is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the Asian is thriving, while there are few White.
