In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the Asian is thriving, while there are few Hispanic.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few Black.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Asian.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the White is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Hispanic is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few White.
In Buffalo, the Black is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Black.
In Fresno, the White is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few Black.
In Omaha, the Black is thriving, while there are few White.
In Bakersfield, the White is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Asian.
