In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few Black.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Asian.
In Indianapolis, the White is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Black.
In Austin, the Asian is thriving, while there are few Hispanic.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few White.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the White is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Black is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few White.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Black.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the Hispanic is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the White is thriving, while there are few White.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few Asian.
In Anchorage, the Hispanic is thriving, while there are few Asian.
In Toledo, the White is thriving, while there are few Black.
