In New York, the White is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few White.
In Phoenix, the Asian is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few Asian.
In Dallas, the Asian is thriving, while there are few Black.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the Black is thriving, while there are few White.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few White.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Hispanic.
In Portland, the White is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few White.
In Las Vegas, the Black is thriving, while there are few Hispanic.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few Hispanic.
In Raleigh, the Black is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the Black is thriving, while there are few Black.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few White.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few Hispanic.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the Hispanic is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few Black.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few Black.
