In New York, the White is thriving, while there are few White.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the Black is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few Asian.
In Indianapolis, the Asian is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the Black is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few Black.
In Boston, the Black is thriving, while there are few Black.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few Hispanic.
In Louisville, the Black is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the White is thriving, while there are few Hispanic.
In New Orleans, the Hispanic is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the Asian is thriving, while there are few Asian.
In Salt Lake City, the Black is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Black.
In Fresno, the White is thriving, while there are few Asian.
In Wichita, the Black is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few Black.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the Black is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few Hispanic.
In Toledo, the Asian is thriving, while there are few Black.
