In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few Black.
In Houston, the White is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Asian is thriving, while there are few White.
In Austin, the Black is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the White is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few White.
In Denver, the Asian is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few Hispanic.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few White.
In Richmond, the Black is thriving, while there are few Asian.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few White.
In Buffalo, the Hispanic is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few White.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the White is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Black.
In Tulsa, the Hispanic is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few White.
In Wichita, the White is thriving, while there are few Black.
In Albuquerque, the Hispanic is thriving, while there are few Black.
In Omaha, the Hispanic is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the Asian is thriving, while there are few White.
In Tampa, the Hispanic is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Black is thriving, while there are few White.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Asian.
