In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few Black.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the Hispanic is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the White is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few White.
In Columbus, the Asian is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the Asian is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Hispanic is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few White.
In Birmingham, the Hispanic is thriving, while there are few Black.
In Raleigh, the Black is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the White is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the Hispanic is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few Black.
In Bakersfield, the White is thriving, while there are few Asian.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the White is thriving, while there are few White.
