In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few White.
In Houston, the White is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few Black.
In Columbus, the Black is thriving, while there are few White.
In Austin, the Black is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few Black.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few White.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Hispanic is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Black is thriving, while there are few White.
In Las Vegas, the Hispanic is thriving, while there are few Hispanic.
In Louisville, the White is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the Asian is thriving, while there are few Black.
In Hartford, the Asian is thriving, while there are few Black.
In New Orleans, the Hispanic is thriving, while there are few White.
In Buffalo, the Hispanic is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the Black is thriving, while there are few Hispanic.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few Asian.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the Asian is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few White.
