In New York, the Asian is thriving, while there are few White.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Black.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the Black is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Hispanic is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the White is thriving, while there are few Asian.
In Denver, the Black is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Black is thriving, while there are few Hispanic.
In Portland, the Black is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few White.
In Louisville, the Black is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the Hispanic is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few Hispanic.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the Hispanic is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Black.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Hispanic is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the Hispanic is thriving, while there are few Asian.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the Hispanic is thriving, while there are few White.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
