In New York, the White is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the White is thriving, while there are few Black.
In Houston, the White is thriving, while there are few Black.
In Phoenix, the Black is thriving, while there are few Hispanic.
In Philadelphia, the Hispanic is thriving, while there are few Asian.
In San Antonio, the White is thriving, while there are few White.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the Black is thriving, while there are few Hispanic.
In Charlotte, the Hispanic is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few White.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few Asian.
In Milwaukee, the White is thriving, while there are few White.
In Portland, the White is thriving, while there are few White.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Black.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Black.
In Buffalo, the Black is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few White.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Hispanic is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
