In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Asian is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the Hispanic is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few Hispanic.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few White.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Black is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Hispanic is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few White.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the White is thriving, while there are few Hispanic.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Hispanic.
In New Orleans, the Black is thriving, while there are few Hispanic.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Black is thriving, while there are few Asian.
In Wichita, the Black is thriving, while there are few Asian.
In Albuquerque, the Asian is thriving, while there are few Black.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few Black.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the Hispanic is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few Asian.
