In New York, the Hispanic is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few White.
In Houston, the White is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few Black.
In Philadelphia, the Hispanic is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few Asian.
In Indianapolis, the Asian is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Black.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the Black is thriving, while there are few White.
In Nashville, the White is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few Hispanic.
In Oklahoma City, the Hispanic is thriving, while there are few White.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the White is thriving, while there are few Hispanic.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few White.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the Black is thriving, while there are few Black.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the White is thriving, while there are few Black.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Black.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few White.
