In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few White.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the White is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the White is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Black.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the Black is thriving, while there are few Hispanic.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Hispanic is thriving, while there are few White.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Hispanic is thriving, while there are few Hispanic.
In Fresno, the Hispanic is thriving, while there are few Hispanic.
In Wichita, the Hispanic is thriving, while there are few Hispanic.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few Black.
In Knoxville, the Hispanic is thriving, while there are few Asian.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the Black is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the Hispanic is thriving, while there are few Asian.
