In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the White is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the Hispanic is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few White.
In Columbus, the White is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the Hispanic is thriving, while there are few White.
In Memphis, the Hispanic is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few White.
In Denver, the Asian is thriving, while there are few White.
In Nashville, the White is thriving, while there are few White.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few White.
In Louisville, the Black is thriving, while there are few Black.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Black is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few Black.
In Hartford, the White is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few Black.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Asian.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Hispanic.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few Black.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few Asian.
In Knoxville, the Hispanic is thriving, while there are few Asian.
In Tampa, the Hispanic is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few White.
In Cincinnati, the Black is thriving, while there are few White.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Black.
