"pop2024","pop2023","pop2020","pop2010","growth","usps","geoid","ansicode","name","lsad","funcstat","aland","awater","aland_sqmi","awater_sqmi","intptlat","intptlong","slug","metroId","countyfips","rank","density"
532101,530051,525668,467246,0.00387,"CA",664000,2411751,"Sacramento","2",0,253119000,5591300,97.73,2.159,38.5666,-121.469,"sacramento-ca",40900,"6067",35,5445
518816,515657,505863,440833,0.00613,"AZ",446000,2411087,"Mesa","2",0,357639000,1955880,138.085,0.755,33.402,-111.718,"mesa-az",38060,"4013",36,3757
512047,505587,499868,429414,0.01278,"GA",1304000,2403126,"Atlanta","2",0,351557000,2684130,135.737,1.036,33.7629,-84.4227,"atlanta-ga",12060,"13121|13089|13067",37,3772
509993,509645,508183,460690,0.00068,"MO",2938000,2395492,"Kansas City","2",0,815551000,10593100,314.886,4.09,39.1252,-94.5503,"kansas-city-mo",28140,"29095|29047|29165|29037",38,1620
492088,489168,480292,420726,0.00597,"CO",816000,2410198,"Colorado Springs","2",0,505047000,937374,195,0.362,38.8673,-104.761,"colorado-springs-co",17820,"8041",39,2524
489977,483282,464320,406412,0.01385,"NC",3755000,2404590,"Raleigh","2",0,377844000,2830540,145.886,1.093,35.8302,-78.6415,"raleigh-nc",39580,"37183|37063",40,3359
478443,481798,492601,459681,-0.00696,"NE",3137000,2396064,"Omaha","2",0,365144000,9338770,140.983,3.606,41.2631,-96.052,"omaha-ne",36540,"31055",41,3394
464544,457029,442799,400798,0.01644,"FL",1245000,2404247,"Miami","2",0,93230500,51999600,35.996,20.077,25.7752,-80.2086,"miami-fl",33100,"12086",42,12905
449494,452556,459646,438864,-0.00677,"VA",5182000,1498559,"Virginia Beach","2",0,633829000,654687000,244.723,252.776,36.78,-76.0252,"virginia-beach-va",47260,"51810",43,1837
445253,448280,465448,462311,-0.00675,"CA",643000,2410866,"Long Beach","2",0,131302000,75937500,50.696,29.32,33.7781,-118.167,"long-beach-ca",31080,"6037",44,8783
426018,425557,430684,383078,0.00108,"MN",2743000,2395345,"Minneapolis","2",0,139858000,9027530,54,3.486,44.9633,-93.2683,"minneapolis-mn",33460,"27053",45,7889
419077,424815,440873,391350,-0.01351,"CA",653000,2411292,"Oakland","2",0,144763000,56965800,55.893,21.995,37.7698,-122.226,"oakland-ca",41860,"6001",46,7498
413783,412215,405181,348760,0.0038,"CA",603526,2409774,"Bakersfield","2",0,387871000,3792000,149.758,1.464,35.3536,-119.037,"bakersfield-ca",12540,"6029",47,2763
410061,410964,413603,392289,-0.0022,"OK",4075000,2412110,"Tulsa","2",0,511465000,11126700,197.478,4.296,36.1279,-95.9023,"tulsa-ok",46140,"40143|40113|40131|40145",48,2076
408733,403453,387908,337156,0.01309,"FL",1271000,2405568,"Tampa","2",0,295302000,160099000,114.017,61.815,27.9679,-82.4746,"tampa-fl",45300,"12057",49,3585
399871,396704,386749,327884,0.00798,"CO",804000,2409757,"Aurora","2",0,399562000,1650190,154.272,0.637,39.688,-104.69,"aurora-co",19740,"08001|08005",50,2592
397250,395926,394212,365920,0.00334,"TX",4804000,2409731,"Arlington","2",0,248067000,9470270,95.779,3.656,32.7007,-97.1247,"arlington-tx",19100,"48439",51,4148
395218,395705,398003,382740,-0.00123,"KS",2079000,485662,"Wichita","2",0,418704000,11667800,161.662,4.505,37.6906,-97.3458,"wichita-ks",48620,"20173",52,2445
355121,362435,383218,347789,-0.02018,"LA",2255000,545142,"New Orleans","2",0,438831000,467268000,169.434,180.413,30.0534,-89.9345,"new-orleans-la",35380,"22071",53,2096
354043,357825,371817,396095,-0.01057,"OH",3916000,1085963,"Cleveland","2",0,201227000,12336400,77.694,4.763,41.4785,-81.6794,"cleveland-oh",17460,"39035",54,4557
349403,340409,319039,257453,0.02642,"NV",3231900,2410741,"Henderson","2",0,274750000,1272340,106.082,0.491,36.0102,-115.036,"henderson-nv",29820,"32003",55,3294
341035,342748,347105,337860,-0.005,"CA",602000,2409704,"Anaheim","2",0,130329000,1567020,50.32,0.605,33.8236,-118.016,"anaheim-ca",31080,"6059",56,6777
337075,340248,347181,337256,-0.00933,"HI",1571550,2630783,"Honolulu","5",0,156807000,20487500,60.544,7.91,21.3243,-157.848,"honolulu-hi",0,"15003",57,5567
334468,327616,315469,305417,0.02091,"CA",662000,2410965,"Riverside","2",0,210458000,801713,81.258,0.31,33.9381,-117.393,"riverside-ca",40140,"6065",58,4116
330863,322274,308974,214371,0.02665,"CA",636770,2410116,"Irvine","2",0,169953000,808586,65.619,0.312,33.6784,-117.771,"irvine-ca",0,"6059",59,5042
328535,322308,307733,239219,0.01932,"FL",1253000,2404443,"Orlando","2",0,286346000,21332100,110.559,8.236,28.4246,-81.227,"orlando-fl",36740,"12095",60,2972
320243,321031,321023,292984,-0.00245,"CA",675000,2411987,"Stockton","2",0,161026000,7985700,62.172,3.083,37.9763,-121.313,"stockton-ca",44700,"6077",61,5151
320095,320221,322613,296868,-0.00039,"KY",2146027,2405089,"Lexington","U",0,734616000,4922120,283.637,1.9,38.0407,-84.4583,"lexington-ky",30460,"21067",62,1129
313061,314650,318047,305254,-0.00505,"TX",4817000,2410234,"Corpus Christi","2",0,413630000,852166000,159.703,329.023,27.7543,-97.1734,"corpus-christi-tx",18580,"48355|48409|48007|48273",63,1960
311169,310341,309574,297061,0.00267,"OH",3915000,1086201,"Cincinnati","2",0,201594000,4472880,77.836,1.727,39.1402,-84.5058,"cincinnati-oh",17140,"39061",64,3998
307025,307607,309921,325069,-0.00189,"CA",669000,2411814,"Santa Ana","2",0,70864700,79932,27.361,0.031,33.7363,-117.883,"santa-ana-ca",0,"6059",65,11221
304895,303005,296916,269602,0.00624,"NC",3728000,2403745,"Greensboro","2",0,334284000,13555700,129.068,5.234,36.0951,-79.827,"greensboro-nc",24660,"37081",66,2362
301408,303376,310613,276989,-0.00649,"NJ",3451000,885317,"Newark","2",0,62531400,4509800,24.144,1.741,40.7242,-74.1726,"newark-nj",35620,"34013",67,12484
299381,289962,261191,216844,0.03248,"NV",3251800,2411273,"North Las Vegas","2",0,253859000,112001,98.015,0.043,36.2857,-115.094,"north-las-vegas-nv",0,"32003",68,3054
297812,300355,302762,305351,-0.00847,"PA",4261000,1214818,"Pittsburgh","2",0,143424000,7688210,55.376,2.968,40.4398,-79.9763,"pittsburgh-pa",38300,"42003",69,5378
297430,294679,284362,231586,0.00934,"NC",3719000,2403521,"Durham","2",0,290650000,2164130,112.221,0.836,35.9811,-78.9029,"durham-nc",20500,"37063|37135",70,2650
295228,299202,311130,285504,-0.01328,"MN",2758000,2396511,"St. Paul","2",0,134622000,10925900,51.978,4.219,44.9489,-93.1041,"st-paul-mn",33460,"27123",71,5680
294929,293778,291576,259464,0.00392,"NE",3128000,2395713,"Lincoln","2",0,249217000,3524100,96.223,1.361,40.809,-96.6789,"lincoln-ne",30700,"31109",72,3065
291249,290398,286388,261240,0.00293,"TX",4858016,2411437,"Plano","2",0,185656000,904814,71.682,0.349,33.0508,-96.7479,"plano-tx",0,"48085|48121",73,4063
290726,288698,291919,248324,0.00702,"NJ",3436000,885264,"Jersey City","2",0,38185600,16550000,14.744,6.39,40.7114,-74.0648,"jersey-city-nj",35620,"34017",74,19718
284031,285588,290866,293760,-0.00545,"AK",203000,2419025,"Anchorage","3",0,4420590000,614472000,1706.8,237.249,61.1743,-149.284,"anchorage-ak",11260,"2020",75,166
283494,281332,276041,244744,0.00768,"CA",613392,2409461,"Chula Vista","2",0,128569000,6360330,49.641,2.456,32.6277,-117.015,"chula-vista-ca",0,"6073",76,5711
283175,281943,277327,236459,0.00437,"AZ",412000,2409433,"Chandler","2",0,168669000,182929,65.124,0.071,33.2828,-111.852,"chandler-az",0,"4013",77,4348
282967,277935,270313,233977,0.0181,"WI",5548000,1583625,"Madison","2",0,205486000,56879000,79.339,21.961,43.0878,-89.4299,"madison-wi",31540,"55025",78,3567
280294,276871,264965,225668,0.01236,"NV",3260600,2410923,"Reno","2",0,281646000,7338580,108.744,2.833,39.5491,-119.85,"reno-nv",39900,"32031",79,2578
279628,277487,269157,209471,0.00772,"AZ",427400,2412682,"Gilbert","4",0,177348000,527034,68.475,0.203,33.3102,-111.743,"gilbert-az",0,"4013",80,4084
273768,275127,277620,261280,-0.00494,"NY",3611000,978764,"Buffalo","2",0,104578000,31344700,40.378,12.102,42.8925,-78.8597,"buffalo-ny",15380,"36029",81,6780
272610,279594,300483,319367,-0.02498,"MO",2965000,767557,"St. Louis","2",0,159915000,11006000,61.744,4.249,38.6357,-90.2446,"st-louis-mo",41180,"29510",82,4415
271037,269482,264361,254134,0.00577,"IN",1825000,2394798,"Fort Wayne","2",0,286546000,562505,110.636,0.217,41.0882,-85.1439,"fort-wayne-in",23060,"18003",83,2450
269392,266661,257974,231108,0.01024,"TX",4845000,2410892,"Lubbock","2",0,348931000,3227290,134.723,1.246,33.5668,-101.888,"lubbock-tx",31180,"48303",84,2000
265602,263429,258997,245220,0.00825,"FL",1263000,2405401,"St. Petersburg","2",0,160228000,197264000,61.864,76.164,27.7609,-82.6434,"st-petersburg-fl",45300,"12103",85,4293
261415,263858,270266,287077,-0.00926,"OH",3977000,1086537,"Toledo","2",0,208465000,8657580,80.489,3.343,41.6641,-83.5819,"toledo-oh",45780,"39095",86,3248
259564,245677,206808,164860,0.05653,"FL",1258715,2404558,"Port St. Lucie","2",0,308733000,4194420,119.202,1.619,27.2806,-80.3883,"port-st-lucie-fl",38940,"12111",87,2178
256771,256479,255479,236801,0.00114,"TX",4841464,2411626,"Laredo","2",0,273873000,3805100,105.743,1.469,27.5604,-99.4892,"laredo-tx",29700,"48479",88,2428
256622,254379,248904,226194,0.00882,"AZ",427820,2410596,"Glendale","2",0,159523000,1036610,61.592,0.4,33.5344,-112.414,"glendale-az",0,"4013",89,4166
255023,254869,256866,216858,0.0006,"TX",4837000,2410117,"Irving","2",0,173684000,2569520,67.06,0.992,32.8577,-96.97,"irving-tx",0,"48113",90,3803
253986,253237,249803,223525,0.00296,"VA",5116000,1498558,"Chesapeake","2",0,876738000,32210000,338.51,12.436,36.6794,-76.3018,"chesapeake-va",0,"51550",91,750
252206,251778,249793,230024,0.0017,"NC",3775000,2405771,"Winston-Salem","2",0,343469000,3117860,132.614,1.204,36.1027,-80.261,"winston--salem-nc",49180,"37067",92,1902
243590,243320,241866,217627,0.00111,"AZ",465000,2411845,"Scottsdale","2",0,476525000,1188550,183.987,0.459,33.6843,-111.861,"scottsdale-az",38060,"4013",93,1324
243026,230009,195408,154736,0.05659,"FL",1210275,2403990,"Cape Coral","2",0,274405000,34816600,105.948,13.443,26.6432,-81.9974,"cape-coral-fl",15980,"12071",94,2294
238184,239519,245450,227292,-0.00557,"TX",4829000,2410572,"Garland","2",0,147783000,313575,57.06,0.121,32.9098,-96.6303,"garland-tx",0,"48113",95,4174
236599,228093,202742,118191,0.03729,"TX",4827684,2410549,"Frisco","2",0,176443000,1431230,68.125,0.553,33.1554,-96.8226,"frisco-tx",0,"48085|48121",96,3473
235845,235845,236434,207627,0,"VA",5103000,2389148,"Arlington","5",0,67333000,273562,25.997,0.106,38.8783,-77.1007,"arlington-va",47900,"51013",97,9072
233860,235247,236018,209586,-0.0059,"ID",1608830,2409876,"Boise","2",0,216714000,2489870,83.674,0.961,43.6021,-116.231,"boise-id",14260,"16001",98,2795
232981,231188,227008,204375,0.00776,"VA",5167000,1789073,"Richmond","2",0,155200000,6854940,59.923,2.647,37.5314,-77.476,"richmond-va",40060,"51760",99,3888
231132,230646,229187,209537,0.00211,"WA",5367000,2411956,"Spokane","2",0,178086000,1907180,68.759,0.736,47.6669,-117.433,"spokane-wa",44060,"53063",100,3361
228935,230965,237738,243019,-0.00879,"VA",5157000,1498557,"Norfolk","2",0,137981000,111702000,53.275,43.128,36.923,-76.2446,"norfolk-va",47260,"51710",101,4297
228455,225194,216344,180926,0.01448,"AL",137000,2404746,"Huntsville","2",0,555197000,3528660,214.363,1.362,34.7013,-86.6729,"huntsville-al",26620,"01089|01083",102,1066
226142,223959,219693,198324,0.00975,"WA",5370000,2412025,"Tacoma","2",0,128876000,32804900,49.759,12.666,47.2522,-122.46,"tacoma-wa",42660,"53053",103,4545
225461,225461,214591,108481,0,"NV",3223770,2408084,"Enterprise","5",0,132424000,0,51.129,0,36.0163,-115.221,"enterprise-nv",0,"32003",104,4410
220114,220114,218697,178395,0,"NV",3268585,2408797,"Spring Valley","5",0,86125900,0,33.253,0,36.0987,-115.262,"spring-valley-nv",0,"32003",105,6619
218916,219604,222390,225463,-0.00313,"FL",1230000,2404689,"Hialeah","2",0,55895700,3198200,21.581,1.235,25.8699,-80.3029,"hialeah-fl",0,"12086",106,10144
218549,221210,230194,214514,-0.01203,"CA",626000,2410545,"Fremont","2",0,200633000,26291600,77.465,10.151,37.501,-122.084,"fremont-ca",0,"6001",107,2821
218500,219414,222028,210484,-0.00417,"CA",665000,2411777,"San Bernardino","2",0,160860000,875506,62.108,0.338,34.1411,-117.295,"san-bernardino-ca",40140,"6071",108,3518
216345,214410,208620,197216,0.00902,"CA",624680,2410517,"Fontana","2",0,111555000,0,43.072,0,34.109,-117.463,"fontana-ca",0,"6071",109,5023
216311,217190,218654,203278,-0.00405,"CA",648354,2411130,"Modesto","2",0,111309000,4740720,42.977,1.83,37.6375,-121.003,"modesto-ca",33700,"6099",110,5033
216207,218830,226265,229239,-0.01199,"LA",2205000,2403821,"Baton Rouge","2",0,223903000,5708640,86.449,2.204,30.4422,-91.1309,"baton-rouge-la",12940,"22033",111,2501
215667,211587,197474,132940,0.01928,"TX",4845744,2411064,"McKinney","2",0,173373000,1916550,66.94,0.74,33.2011,-96.6642,"mckinney-tx",0,"48085",112,3222
215395,218370,228065,208802,-0.01362,"CA",669088,2411819,"Santa Clarita","2",0,183254000,162849,70.755,0.063,34.4141,-118.495,"santa-clarita-ca",0,"6037",113,3044
212644,212284,209107,194168,0.0017,"CA",649270,2411159,"Moreno Valley","2",0,132755000,549563,51.257,0.212,33.9233,-117.206,"moreno-valley-ca",0,"6065",114,4149
212630,207354,193409,154538,0.02544,"SD",4659020,1267566,"Sioux Falls","2",0,202612000,1363810,78.229,0.527,43.5395,-96.732,"sioux-falls-sd",43620,"46099|46083",115,2718
211641,208149,200658,186646,0.01678,"UT",4967000,2411771,"Salt Lake City","2",0,286707000,1216720,110.698,0.47,40.7785,-111.93,"salt-lake-city-ut",41620,"49035",116,1912
210675,206259,196278,175940,0.02141,"TX",4830464,2410632,"Grand Prairie","2",0,187139000,23043300,72.255,8.897,32.6861,-97.0208,"grand-prairie-tx",0,"48113|48439|48139",117,2916
208026,209530,213814,205042,-0.00718,"IA",1921000,2394522,"Des Moines","2",0,228385000,6420720,88.18,2.479,41.5726,-93.6102,"des-moines-ia",19780,"19153",118,2359
207281,208077,208104,208354,-0.00383,"NC",3722920,2403604,"Fayetteville","2",0,382923000,4738400,147.847,1.83,35.0828,-78.9735,"fayetteville-nc",22180,"37051",119,1402
205642,207497,211167,210190,-0.00894,"NY",3663000,979426,"Rochester","2",0,92634700,3640300,35.766,1.406,43.1699,-77.6169,"rochester-ny",40380,"36055",120,5750
204637,204978,205063,181762,-0.00166,"MA",2582000,619493,"Worcester","2",0,96762100,2811330,37.36,1.085,42.2695,-71.8078,"worcester-ma",0,"25027",121,5477
204615,203173,197926,181441,0.0071,"FL",1270600,2405563,"Tallahassee","2",0,260226000,8345630,100.474,3.222,30.4551,-84.2534,"tallahassee-fl",45220,"12073",122,2036
204612,203354,202000,196388,0.00619,"GA",1304204,2405078,"Augusta","0",0,782887000,10820500,302.274,4.178,33.3655,-82.0734,"augusta-ga",12260,"13245",123,677
204479,206300,210989,196510,-0.00883,"NY",3684000,979660,"Yonkers","2",0,46651500,5916220,18.012,2.284,40.9459,-73.8674,"yonkers-ny",0,"36119",124,11352
204132,203498,202622,193983,0.00312,"AR",541000,2404939,"Little Rock","2",0,310777000,7665230,119.992,2.96,34.724,-92.3576,"little-rock-ar",30780,"5119",125,1701
203652,200759,191961,154856,0.01441,"AZ",454050,2411401,"Peoria","2",0,455811000,8208020,175.989,3.169,33.7865,-112.308,"peoria-az",0,"04013|04025",126,1157
202169,201730,200507,191260,0.00218,"TX",4803000,2409694,"Amarillo","2",0,263516000,4049640,101.744,1.564,35.1989,-101.832,"amarillo-tx",11100,"48375|48381",127,1987
200471,198180,191478,178269,0.01156,"TN",4740000,2404842,"Knoxville","2",0,255664000,14322100,98.713,5.53,35.9707,-83.9493,"knoxville-tn",28940,"47093",128,2031
198325,198325,198187,189372,0,"NV",3271400,2410035,"Sunrise Manor","5",0,86444700,0,33.376,0,36.1785,-115.049,"sunrise-manor-nv",0,"32003",129,5942
198018,196265,191259,167614,0.00893,"WA",5374060,2412146,"Vancouver","2",0,126246000,9593980,48.744,3.704,45.6372,-122.597,"vancouver-wa",38900,"53011",130,4062
197984,197855,197722,174049,0.00065,"KS",2053775,485639,"Overland Park","2",0,194716000,1194800,75.18,0.461,38.889,-94.6906,"overland-park-ks",0,"20091",131,2633
197800,200208,206998,191122,-0.01203,"GA",1319000,2404111,"Columbus","2",0,560679000,11737100,216.479,4.532,32.5102,-84.8749,"columbus-ga",17980,"13215",132,914
197137,198776,202244,198541,-0.00825,"CA",654652,2411347,"Oxnard","2",0,68706200,32114700,26.528,12.4,34.1994,-119.208,"oxnard-ca",37100,"6111",133,7431
195770,190860,181680,162317,0.02573,"AZ",473000,2412045,"Tempe","2",0,103541000,643414,39.977,0.248,33.3884,-111.932,"tempe-az",0,"4013",134,4897
195222,196065,198698,187975,-0.0043,"MI",2634000,1626373,"Grand Rapids","2",0,115919000,2268060,44.756,0.876,42.9612,-85.6556,"grand-rapids-mi",24340,"26081",135,4362
195084,195997,200329,211763,-0.00466,"AL",107000,2403868,"Birmingham","2",0,378334000,6593180,146.076,2.546,33.5274,-86.799,"birmingham-al",13820,"01073|01117",136,1335
194020,195503,200024,205583,-0.00759,"AL",151000,2404289,"Montgomery","2",0,414093000,5965790,159.882,2.303,32.3472,-86.2661,"montgomery-al",33860,"1101",137,1214
192232,190807,186990,175073,0.00747,"TX",4810768,2409924,"Brownsville","2",0,342712000,35635800,132.322,13.759,25.9957,-97.4509,"brownsville-tx",15180,"48061",138,1453
190004,192157,198410,191080,-0.0112,"CA",636000,2410811,"Huntington Beach","2",0,69936400,3455840,27.003,1.334,33.698,-118.004,"huntington-beach-ca",0,"6059",139,7036
189932,187009,181560,170582,0.01563,"TN",4714000,2404035,"Chattanooga","2",0,370273000,19989100,142.963,7.718,35.066,-85.2484,"chattanooga-tn",16860,"47065",140,1329
189733,189733,193150,223167,0,"NV",3254600,2409023,"Paradise","5",0,121035000,0,46.732,0,36.0807,-115.137,"paradise-nv",29820,"32003",141,4060
189098,183036,167499,133483,0.03312,"TN",4715160,2404061,"Clarksville","2",0,255882000,1764730,98.796,0.681,36.5664,-87.3452,"clarksville-tn",17300,"47125",142,1914
188527,189045,190728,177996,-0.00274,"RI",4459000,1220076,"Providence","2",0,47670300,5654660,18.406,2.183,41.8231,-71.4188,"providence-ri",39300,"44007",143,10243
188427,188468,190130,198949,-0.00022,"OH",3901000,1086993,"Akron","2",0,160405000,884027,61.933,0.341,41.0805,-81.5214,"akron-oh",10420,"39153",144,3042
186238,183313,175510,137116,0.01596,"NC",3710740,2406229,"Cary","4",0,152098000,2807500,58.725,1.084,35.7814,-78.819,"cary-nc",0,"37183|37037",145,3171
185416,184281,182880,166374,0.00616,"FL",1224000,2403640,"Fort Lauderdale","2",0,89577600,4435590,34.586,1.713,26.1412,-80.1467,"fort-lauderdale-fl",33100,"12011",146,5361
183390,183848,186033,180905,-0.00249,"VA",5156000,1498555,"Newport News","2",0,178689000,131135000,68.992,50.632,37.0761,-76.522,"newport-news-va",47260,"51700",147,2658
183119,186170,195995,191729,-0.01639,"CA",630000,2410597,"Glendale","2",0,78919000,330545,30.471,0.128,34.1814,-118.246,"glendale-ca",0,"6037",148,6010
181493,180277,175852,164380,0.00675,"CA",653896,2411323,"Ontario","2",0,129403000,75071,49.963,0.029,34.0376,-117.604,"ontario-ca",40140,"6071",149,3633
179833,181561,186611,194590,-0.00952,"AL",150000,2404278,"Mobile","2",0,361212000,105131000,139.465,40.591,30.6684,-88.1002,"mobile-al",33660,"1097",150,1289
178670,177503,174571,166361,0.00657,"CA",659451,2411514,"Rancho Cucamonga","2",0,103902000,24723,40.117,0.01,34.1233,-117.564,"rancho-cucamonga-ca",0,"6071",151,4454
177863,177893,177389,156516,-0.00017,"OR",4123850,2410460,"Eugene","2",0,114316000,178992,44.138,0.069,44.0551,-123.117,"eugene-or",21660,"41039",152,4030
177245,177213,177835,175221,0.00018,"CA",670098,2411827,"Santa Rosa","2",0,110124000,451570,42.519,0.174,38.4458,-122.706,"santa-rosa-ca",42220,"6097",153,4169
176251,176869,175931,155223,-0.00349,"OR",4164900,2411764,"Salem","2",0,126110000,1418530,48.691,0.548,44.9239,-123.023,"salem-or",41420,"41047|41053",154,3620
176108,176833,176732,153417,-0.0041,"CA",622020,2410425,"Elk Grove","2",0,108864000,429692,42.033,0.166,38.4146,-121.385,"elk-grove-ca",0,"6067",155,4190
174926,176396,180197,198197,-0.00833,"IL",1703012,2394031,"Aurora","2",0,116572000,2420400,45.009,0.935,41.7635,-88.2901,"aurora-il",0,"17089|17043|17197|17093",156,3886
173844,168121,153737,109558,0.03404,"TN",4751560,2404342,"Murfreesboro","2",0,159826000,353385,61.709,0.136,35.8539,-86.4212,"murfreesboro-tn",34980,"47149",157,2817
